"Plot Title: Landing"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20309223, SEN S/N: 20309223)","Event, units (LGR S/N: 20309223, SEN S/N: 20309223)","Coupler Attached (LGR S/N: 20309223)","Host Connected (LGR S/N: 20309223)","End Of File (LGR S/N: 20309223)"
1,01/06/20 04:00:00 PM,57.441,0.00,,,
2,01/06/20 04:15:00 PM,54.842,,,,
3,01/06/20 04:30:00 PM,53.274,,,,
4,01/06/20 04:45:00 PM,52.225,,,,
5,01/06/20 05:00:00 PM,51.172,,,,
6,01/06/20 05:15:00 PM,50.113,,,,
7,01/06/20 05:30:00 PM,49.228,,,,
8,01/06/20 05:45:00 PM,48.695,,,,
9,01/06/20 06:00:00 PM,48.160,,,,
10,01/06/20 06:15:00 PM,47.802,,,,
11,01/06/20 06:30:00 PM,47.266,,,,
12,01/06/20 06:45:00 PM,46.728,,,,
13,01/06/20 07:00:00 PM,46.369,,,,
14,01/06/20 07:15:00 PM,46.188,,,,
15,01/06/20 07:30:00 PM,45.828,,,,
16,01/06/20 07:45:00 PM,45.828,,,,
17,01/06/20 08:00:00 PM,45.648,,,,
18,01/06/20 08:15:00 PM,45.648,,,,
19,01/06/20 08:30:00 PM,45.466,,,,
20,01/06/20 08:45:00 PM,45.466,,,,
21,01/06/20 09:00:00 PM,45.466,,,,
22,01/06/20 09:15:00 PM,45.466,,,,
23,01/06/20 09:30:00 PM,45.466,,,,
24,01/06/20 09:45:00 PM,45.466,,,,
25,01/06/20 10:00:00 PM,45.466,,,,
26,01/06/20 10:15:00 PM,45.648,,,,
27,01/06/20 10:30:00 PM,45.648,,,,
28,01/06/20 10:45:00 PM,45.648,,,,
29,01/06/20 11:00:00 PM,45.466,,,,
30,01/06/20 11:15:00 PM,45.286,,,,
31,01/06/20 11:30:00 PM,45.286,,,,
32,01/06/20 11:45:00 PM,45.466,,,,
33,01/07/20 12:00:00 AM,45.466,,,,
34,01/07/20 12:15:00 AM,45.466,,,,
35,01/07/20 12:30:00 AM,45.286,,,,
36,01/07/20 12:45:00 AM,45.104,,,,
37,01/07/20 01:00:00 AM,45.104,,,,
38,01/07/20 01:15:00 AM,45.104,,,,
39,01/07/20 01:30:00 AM,44.922,,,,
40,01/07/20 01:45:00 AM,44.742,,,,
41,01/07/20 02:00:00 AM,44.742,,,,
42,01/07/20 02:15:00 AM,44.560,,,,
43,01/07/20 02:30:00 AM,44.195,,,,
44,01/07/20 02:45:00 AM,44.013,,,,
45,01/07/20 03:00:00 AM,43.831,,,,
46,01/07/20 03:15:00 AM,43.831,,,,
47,01/07/20 03:30:00 AM,43.648,,,,
48,01/07/20 03:45:00 AM,43.648,,,,
49,01/07/20 04:00:00 AM,43.648,,,,
50,01/07/20 04:15:00 AM,43.648,,,,
51,01/07/20 04:30:00 AM,43.466,,,,
52,01/07/20 04:45:00 AM,43.282,,,,
53,01/07/20 05:00:00 AM,43.099,,,,
54,01/07/20 05:15:00 AM,43.099,,,,
55,01/07/20 05:30:00 AM,43.099,,,,
56,01/07/20 05:45:00 AM,42.915,,,,
57,01/07/20 06:00:00 AM,42.732,,,,
58,01/07/20 06:15:00 AM,42.548,,,,
59,01/07/20 06:30:00 AM,42.363,,,,
60,01/07/20 06:45:00 AM,42.179,,,,
61,01/07/20 07:00:00 AM,41.994,,,,
62,01/07/20 07:15:00 AM,41.994,,,,
63,01/07/20 07:30:00 AM,42.179,,,,
64,01/07/20 07:45:00 AM,42.363,,,,
65,01/07/20 08:00:00 AM,42.548,,,,
66,01/07/20 08:15:00 AM,42.915,,,,
67,01/07/20 08:30:00 AM,43.648,,,,
68,01/07/20 08:45:00 AM,44.379,,,,
69,01/07/20 09:00:00 AM,44.922,,,,
70,01/07/20 09:15:00 AM,46.548,,,,
71,01/07/20 09:30:00 AM,47.802,,,,
72,01/07/20 09:45:00 AM,49.050,,,,
73,01/07/20 10:00:00 AM,49.937,,,,
74,01/07/20 10:15:00 AM,51.523,,,,
75,01/07/20 10:30:00 AM,53.449,,,,
76,01/07/20 10:45:00 AM,54.842,,,,
77,01/07/20 11:00:00 AM,55.364,,,,
78,01/07/20 11:15:00 AM,56.230,,,,
79,01/07/20 11:30:00 AM,58.131,,,,
80,01/07/20 11:45:00 AM,61.054,,,,
81,01/07/20 12:00:00 PM,64.481,,,,
82,01/07/20 12:15:00 PM,66.022,,,,
83,01/07/20 12:30:00 PM,67.564,,,,
84,01/07/20 12:45:00 PM,66.879,,,,
85,01/07/20 01:00:00 PM,65.167,,,,
86,01/07/20 01:15:00 PM,67.564,,,,
87,01/07/20 01:30:00 PM,68.934,,,,
88,01/07/20 01:45:00 PM,70.137,,,,
89,01/07/20 02:00:00 PM,67.221,,,,
90,01/07/20 02:15:00 PM,63.282,,,,
91,01/07/20 02:30:00 PM,61.569,,,,
92,01/07/20 02:45:00 PM,61.054,,,,
93,01/07/20 03:00:00 PM,61.569,,,,
94,01/07/20 03:15:00 PM,60.024,,,,
95,01/07/20 03:30:00 PM,57.958,,,,
96,01/07/20 03:45:00 PM,56.577,,,,
97,01/07/20 04:00:00 PM,55.537,,,,
98,01/07/20 04:15:00 PM,54.322,,,,
99,01/07/20 04:30:00 PM,53.274,,,,
100,01/07/20 04:45:00 PM,51.874,,,,
101,01/07/20 05:00:00 PM,50.290,,,,
102,01/07/20 05:15:00 PM,49.228,,,,
103,01/07/20 05:30:00 PM,48.695,,,,
104,01/07/20 05:45:00 PM,48.160,,,,
105,01/07/20 06:00:00 PM,47.802,,,,
106,01/07/20 06:15:00 PM,47.802,,,,
107,01/07/20 06:30:00 PM,47.802,,,,
108,01/07/20 06:45:00 PM,48.160,,,,
109,01/07/20 07:00:00 PM,48.517,,,,
110,01/07/20 07:15:00 PM,48.695,,,,
111,01/07/20 07:30:00 PM,49.050,,,,
112,01/07/20 07:45:00 PM,49.228,,,,
113,01/07/20 08:00:00 PM,49.404,,,,
114,01/07/20 08:15:00 PM,49.404,,,,
115,01/07/20 08:30:00 PM,48.871,,,,
116,01/07/20 08:45:00 PM,48.160,,,,
117,01/07/20 09:00:00 PM,47.624,,,,
118,01/07/20 09:15:00 PM,47.802,,,,
119,01/07/20 09:30:00 PM,47.802,,,,
120,01/07/20 09:45:00 PM,47.982,,,,
121,01/07/20 10:00:00 PM,47.802,,,,
122,01/07/20 10:11:16 PM,,0.01,,,
123,01/07/20 10:15:00 PM,47.802,,,,
124,01/07/20 10:18:47 PM,,0.02,,,
125,01/07/20 10:23:25 PM,,0.03,,,
126,01/07/20 10:30:00 PM,47.624,,,,
127,01/07/20 10:34:19 PM,,0.04,,,
128,01/07/20 10:45:00 PM,47.802,,,,
